52, 27, 42
18, -24, -10
74, 2, 59
-54, -80, -43
-3, 18, 13
-195, -174, -3
-3, -6, -3
-3, -6, -3
116, 52, -30
25, -10, 16
75, 51, 104
52, 58, 31
-9, 30, 37
-47, -64, -42
203, 220, 2
-9, -222, -261
52, 27, 42
18, -24, -10
74, 2, 59
-54, -80, -43
-3, 18, 13
-195, -174, -3
-3, -6, -3
-3, -6, -3
116, 52, -30
25, -10, 16
75, 51, 104
52, 58, 31
-9, 30, 37
-47, -64, -42
203, 220, 2
-9, -222, -261
47, 77, 150
-354, -128, 74
-160, 74, 120
253, -99, -369
183, 298, 290
254, 11, -176
-389, -311, 23
-230, 169, 400
40, 25, -15
-101, -116, 195
-129, 30, 138
-7, -84, -441
-90, 36, 267
-80, -40, -6
39, -205, -143
164, -76, 116
236, -72, -120
-4, -372, -332
75, -9, 76
-263, -186, -133
313, 110, -100
91, 127, 2
167, 306, 396
84, 30, -279
237, -240, 63
53, -294, -262
-157, 44, 12
-64, 100, -44
-221, 109, -204
-23, -115, 230
78, 166, 292
-100, -96, -260
262, -312, 220
180, -100, 240
-61, 173, -1
12, -332, -264
236, -8, -80
431, 217, -468
-80, -14, 102
-286, 365, -42
78, -1, 46
242, 116, -196
110, 158, -260
0, 138, 138
-238, 284, -129
34, -174, -80
156, -204, -462
158, -182, 29
28, -64, -174
-90, 60, -54
500, 280, 60
-18, -29, 70
-310, -51, -544
24, -48, -48
4, 77, 116
-42, 150, -42
-51, -420, 230
-383, 61, -62
-45, -43, 94
101, -38, -9
-112, -119, 42
-46, -98, -77
-304, -304, 0
-264, -127, -104
-41, 43, -98
0, 137, -274
-164, 4, -184
-34, 187, -51
